ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
watermarking relational data : framework;algorithms and analysis,watermarking relational data : framework;algorithms and analysis,r agrawal;p haas;j kiernan,r agrawal;pj haas;j kiernan,vldb j.,the vldb journal the international journal on very large & hellip,2003,2003
xl : a platform for web services,xl : a platform for web services,d florescu;a grÑœnhagen;d kossmann;s rost,d florescu;d kossmann,sigmod conference,,2002,1997.6
data mining : concepts and techniques - book review,a review of data mining techniques,f galiano;n marÑn,sj lee;k siau,sigmod record,,2002,1997.6
implementation of magic-sets in a relational database system,implementation of magic sets in starburst,i mumick;h pirahesh,is mumick;h pirahesh,sigmod conference,proc . of sigmod conf,1994,1997.6
a query language for a web-site management system,strudel-a web-site management system,m fernandez;d florescu;a levy;d suciu,a levy;d florescu;d suciu;j kang;m fernandez,sigmod record,proceedings acm sigmod international conference on & hellip,1997,1997.6
building a laboratory information system around a c++ - based object-oriented dbms,object-oriented geographic information system shell,n goodman;s rozen;l stein,s roberts,vldb,information and software technology,1994,1993
join index hierarchies for supporting efficient navigations in object-oriented databases,translating object-oriented database transactions into relational transactions,z xie;j han,j fong,vldb,information & software technology,1994,2002
query optimization in compressed database systems,query cachingand optimization in distributed mediator systems,z chen;j gehrke;f korn,s adali;ks candan;y papakonstantinou;vs,sigmod conference,proceedingsof the acm sigmod conference,2001,1997.6
the x-tree : an index structure for high-dimensional data,independent quantization : an index compression technique for high-dimensional data spaces,s berchtold;d keim;h kriegel,s berchtold;c boehm;hv jagadish;hp kriegel;j,vldb,,1996,1997.6
quality of service in multimedia digital libraries,quality of service and denial of service,e bertino;a elmagarmid;m hacid,s shalunov;b teitelbaum,sigmod record,,2001,1997.6
multimediaminer : a system prototype for multimedia data mining,multimedia miner : a system prototype for multimedia data mining,o zaÑane;j han;z li;s chee;j chiang, j han;sh chee;jy chiang,sigmod conference,proceedings of acm-sigmod international conference on & hellip,1998,1998
query flocks : a generalization of association-rule mining,mining generalized association rules,s tsur;j ullman;s abiteboul;c clifton;r motwani;s nestorov;a rosenthal,r srikant;r agrawal,sigmod conference,,1998,1995
keynote address,keynote address .,,jr moore,,j audiov media med,1995,1978
integrating mining with relational database systems : alternatives and implications,integrating association rule mining with relational database systems : alternatives and implications,s sarawagi;s thomas;r agrawal,ld notice,sigmod conference,,1998,1997.6
anatomy of a native xml base management system,multimedia database management systems,t fiebig;s helmer;c kanne;g moerkotte;j neumann;r schiele;t westmann,b prabhakaran,vldb j.,,2002,1997.6
interview with pat selinger,interview with authors,,b landing,,san diego,2003,1997.6
static detection of security flaws in object-oriented databases,methodology for index configurations in object-oriented databases,k tajima,ks sang;jl yoon,sigmod conference,information sciences,1996,1996
semantic assumptions and query evaluation in temporal databases,on the semantics of \ \ now ¡¯¡¯ in temporal databases,c bettini;x wang;e bertino;s jajodia,j cliord;c dyreson;t isakowitz;cs jensen;rt,sigmod conference,acm transaction on database systems,1995,1997.6
infosleuth : semantic integration of information in open and dynamic environments ( experience paper ),dynamic service matchmaking among agents in open information environments,r jr.;w bohrer;r brice;a cichocki;j fowler;a helal;v kashyap;t ksiezyk;g martin;m nodine;m rashid;m rusinkiewicz;r shea;c unnikrishnan;a unruh;d woelk,k sycara;m klusch;s widoff;j lu,sigmod conference,sigmod record,1997,1999
implementation of magic-sets in a relational database system,supporting multi-media object management in a relational database management system,i mumick;h pirahesh,lm haas,sigmod conference,technical report . ibm almaden research center,1994,1997.6
visdb : a system for visualizing large databases,lipovsk ~;yw;and jack;g. cassm : a cellular system for very large databases,d keim;h kriegel,s su,sigmod conference,proceedings of the international conference on very large,1995,1997.6
protdb : probabilistic data in xml,the theory of probabilistic databases,a nierman;h jagadish,r cavallo;m pittarelli,vldb,vldb,2002,1987
keynote address,keynote address,,gm hopper,,history of programming,1995,1997.6
mining quantitative association rules in large relational tables,mining association rules between sets of items in large datasets,r srikant;r agrawal,r agrawal;t imilienski;a swami,sigmod conference,proc . acm,1996,1997.6
a data model and data structures for moving objects databases,an efficient index structure for string databases,l forlizzi;r gÑœting;e nardelli;m schneider,t kahveci;ak singh,sigmod conference,vldb,2000,2001
avoiding ordering and grouping in query processing,sequnce query processing,x wang;m cherniack,p seshadri;m livny;r ramakrishnan,vldb,proc . of the acm sigmod conf.;pages430441;minneapolis;mn;& hellip,2003,1997.6
unisql/x unified relational and object-oriented database system,translating object-oriented database transactions into relational transactions,w kim,j fong,sigmod conference,information & software technology,1994,2002
database management systems and the internet,database management systems,s malaika,r ramakrishnan;j gehrke,vldb,,1996,2002
accessing a relational database through an object-oriented database interface,integrity maintenance in an object-oriented database,j orenstein;d kamber,hv jagadish;x qian,vldb,proceedings of the international conference on very large & hellip,1995,1992
homer : a model-based case tool for data-intensive web sites,datarover : a taxonomy based crawler for automated data extraction from data-intensive websites,p merialdo;p atzeni;m magnante;g mecca;m pecorone,h davulcu;s koduri;s nagarajan,sigmod conference,,2000,1997.6
the nimble integration engine,the nimble integration engine,d draper;a halevy;d weld,d draper;ay halevy;ds weld,sigmod conference,proceedings of the 2001 acm sigmod international conference & hellip,2001,2001
component-based e-commerce : assesment of current practices and future directions,component-based e-commerce : assesment of current practices and future directions,m bichler;a segev;j zhao,m bichler;a segev;jl zhao,sigmod record,sigmod record,1998,1998
guest editorial,editorial,,s wright;a steventon,,bt technology journal,2000,2004
re-tree : an efficient index structure for regular expressions,the hcc-tree : an efficient index structure for object oriented databases,c chan;m garofalakis;r rastogi,b sreenath,vldb j.,vldb,2003,1994
the araneus web-base management system,database management systems in 1990,g mecca;p atzeni;a masci;p merialdo;g sindoni,jl berg,sigmod conference,proceedings of the 1982 acm sigmod international conference & hellip,1998,1982
the hcc-tree : an efficient index structure for object oriented databases,the d-tree : an index structure for planar point queries in location-based wireless services,b sreenath;s seshadri,dl lee,vldb,ieee transactions on knowledge and data engineering,1994,2004
languages for multi-database interoperability,languages for multi-database interoperability,f gingras;l lakshmanan;i subramanian;d papoulis;n shiri,g frederic;vs lakshmanan laks;n subramaman iyer,sigmod conference,ptoc . of the acm sigmod;tucson;arizona;may,1997,1997.6
a taxonomy of correctness criteria in database applications,masking system crashes in database applications,k ramamritham;p chrysanthis,j freytag;f cristian;b kaehler,vldb j.,proc . intl. conf . on very large data bases;sep,1996,1997.6
webservice composition with o¡¯grape and osiris,aspect-oriented web service composition with ao4bpel,r weber;c schuler;p neukomm;h schuldt;h schek,a charfi;m mezini,vldb,lecture notes in computer science,2003,2004
the garlic project,the Ã¢ ?? superÃ¢ ?? project,m roth;m arya;l haas;m carey;w cody;r fagin;p schwarz;j ii;e wimmers,m andersson;am auddino;y dupont;e fontana;m,sigmod conference,proceedings of the 1993 acm sigmod international conference & hellip,1996,1993
adaptive parallel aggregation algorithms,a study of alternative parallel spatial join algorithms,a shatdal;j naughton,jm patel;dj dewitt,sigmod conference,submitted to the 1997 vldb conference;august,1995,1997.6
mining generalized association rules,a high-performance distributed algorithm for mining association rules,r srikant;r agrawal,a schuster;r wolff;d trock,vldb,knowledge and information systems,1995,2005
efficient snapshot differential algorithms for data warehousing,asnapshot differential refresh algorithm,w labio;h garcia-molina,b lindsay;l haas;c mohan,vldb,proceedings of the acmsigmod international conference on,1996,1997.6
transactional information systems - book review,tension and information systems,,r veryard,,information and software technology,2001,1987
the ccube constraint object-oriented database system,a modular and open object-oriented database system,a brodsky;v segal;j chen;p exarkhopoulo,sm thatte,sigmod conference,acm sigmod record,1999,1991
the sr-tree : an index structure for high-dimensional nearest neighbor queries,the sr-tree : an index structure for high dimensional data,n katayama;s satoh,n katayama;s satoh,sigmod conference,acm sigmod conference,1997,1997.6
relational data sharing in peer-based data management systems,buffer management in relational database systems,b ooi;y shu;k tan,gm sacco;m schkolnick,sigmod record,acm transactions on database systems,2003,1986
implementing data cubes efficiently,implementing xquery,v harinarayan;a rajaraman;j ullman,p cotton,sigmod conference,,1996,1997.6
aurora : a data stream management system,the mariposa distributed database management system,d abadi;d carney;u Ñ‡etintemel;m cherniack;c convey;c erwin;e galvez;m hatoun;a maskey;a rasin;a singer;m stonebraker;n tatbul;y xing;r yan;s zdonik,j sidell,sigmod conference,sigmod record,2003,1996
a graphical query language for mobile information systems,miqis : modular integration of queryable information systems,y chang,cm wyss;ghl fletcher;f erdinc;jt engle,sigmod record,,2003,1997.6
the query by image content ( qbic ) system,query by imageand video content : the qbic system;¡¯¡¯,j ashley;m flickner;j hafner;d lee;w niblack;d petkovic,m flickner;h sawhney;w niblack;j ashley;q,sigmod conference,ieee computer,1995,1997.6
mining frequent patterns without candidate generation,mining frequent patterns without candidate generation : [ technical report cmpt99-12 ],j han;j pei;y yin,j herlocker;j pei;y yin,sigmod conference,school of computing science;simon fraser university,2000,1997.6
realm-based spatial data types : the rose algebra,realms : a foundation for spatial data types in database systems,r gÑœting;m schneider,rh gueting;m schneider,vldb j.,lecture notes in computer science,1995,1993
answering queries using views : a survey,answering queries with aggregation using views,a halevy,s dar;hv jagadish;ay levy;d srivastava,vldb j.,vldb conf.;bombay,2001,1997.6
aurora : a data stream management system,data grid management systems,d abadi;d carney;u Ñ‡etintemel;m cherniack;c convey;c erwin;e galvez;m hatoun;a maskey;a rasin;a singer;m stonebraker;n tatbul;y xing;r yan;s zdonik,a jagatheesan;a rajasekar,sigmod conference,,2003,1997.6
on supporting containment queries in relational database management systems,data management in environmental information systems,c zhang;j naughton;d dewitt;q luo;g lohman,o gÃ£ 1/4 nther,sigmod conference,handbook of massive data sets table of contents,2001,2002
research in database engineering at the university of namur,the database group at university of hagen,j hainaut,g schlageter;t berkel;e heuel;s mittrach;a,sigmod record,acm sigmod record,2003,1995
the mariposa distributed database management system,the mariposa distributed database management system,j sidell,j sidell,sigmod record,sigmod record,1996,1996
an efficient algorithm for mining association rules in large databases,association rules between sets of items in large databases,a savasere;e omiecinski;s navathe,r agrawal;t imielinski;a swami,vldb,,1995,1993
parallel mining algorithms for generalized association rules with classification hierarchy,fast algorithms for mining association rules . ( 1994 ),t shintani;m kitsuregawa,r agrawal;r srikant,sigmod conference,proceedings of vldb;international conference on very large,1998,1997.6
efficiently publishing relational data as xml documents,generating relations from xml documents,j shanmugasundaram;e shekita;r barr;m carey;b lindsay;h pirahesh;b reinwald,s cohen;y kanza;y sagiv,vldb,lecture notes in computer science,2000,2003
dynamic memory adjustment for external mergesort,dynamic memory adjustment for external mergesort,w zhang;p larson,w zhang;pa larson,vldb,vldb,1997,1997
starts : stanford proposal for internet meta-searching ( experience paper ),starts : stanford proposal for internet meta-searching ( experience paper ),l gravano;k chang;h garcia-molina;a paepcke,l gravano;kcc chang;h garcia-molina;a paepcke,sigmod conference,sigmod conference,1997,1997.6
parallel database systems 101,parallel systems in the data warehouse,j gray,s morse;d isaac,sigmod conference,upper saddle river;nj : prentice,1995,1997.6
keynote address,keynote address,,t berners-lee,,seventh international world wide web conference,1995,1997.6
a super scalar sort algorithm for risc processors,a super scalar sort algorithm for risc processors,r agarwal,rc agarwal,sigmod conference,sigmod conference,1996,1996
an overview of data warehousing and olap technology,an overiview of vhdl language and technology,s chaudhuri;u dayal,m shahdad,sigmod record,proceedings of the 23rd design automation conference,1997,1997.6
declarative updates of relational databases,java and relational databases,w chen,g clossman;p shaw;m hapner;j klein;r,acm trans . database syst .,proceedings of 1998 acm sigmod conference on management of & hellip,1995,1997.6
monitoring business processes through event correlation based on dependency model,correlating events for monitoring business processes,a adi;d botzer;o etzion;t yatzkar-haham,j schiefer;c mcgregor,sigmod conference,,2001,1997.6
communication efficient distributed mining of association rules,mining association rules,a schuster;r wolff,r agrawal;r srikant,sigmod conference,proc . of the 21 stvldb conf . zurich switzerland,2001,1997.6
optimizing multi-feature queries for image databases,content-based queries in image databases,u gÑœntzer;w balke;w kieÐ¿ling,u shaft;r ramakrishnan,vldb,computer sciences technical report-university of wisconsin & hellip,2000,1996
icicles : self-tuning samples for approximate query answering,the aqua approximate query answering system,v ganti;m lee;r ramakrishnan,sa cr941;pb gibbons;v poosaia;s ramaswamy,vldb,proc . acm sigmod lnrernational co @ on management of data;& hellip,2000,1997.6
editor ¡¯s notes,editor ¡¯s notes,m franklin,nl smith,sigmod record,new directions for program evaluation,1997,1981
the national medical knowledge bank,a massive repository for the national medical knowledge bank,w sterling,wm sterling,vldb,,1998,1997.6
metu interoperable database system,metu interoperable database system,a dogac;c dengi;e kilic;g Ð¶zhan;f ozcan;s nural;c evrendilek;u halici;i arpinar;p koksal;n kesim;s mancuhan,al dogac aet,sigmod record,proceedings of the 1996 acm sigmod int . conf . on management,1995,1997.6
continuous nearest neighbor search,nearest neighbor searching and applications,y tao;d papadias;q shen,s arya,vldb,,2002,1996
performance of data-parallel spatial operations,parallel algorithms for the execution of relational database operations,e hoel;h samet,d bitton;h boral;dj dewitt;wk wilkinson,vldb,acm transactions on database systems,1994,1983
lore : a lightweight object repository for semistructured data,lore : a lightweight object repository for semistructured data,d quass;j widom;r goldman;k haas;q luo;j mchugh;s nestorov;a rajaraman;h rivero;s abiteboul;j ullman;j wiener,d quass,sigmod conference,proceedings of the 1996 acm sigmod international conference & hellip,1996,1996
odefs : a file system interface to an object-oriented database,spatial query procesing in an object oriented database system,n gehani;h jagadish;w roome,ao jack,vldb,acm proceedings,1994,1997.6
adaptive filters for continuous queries over distributed data streams,processing frequent items over distributed data streams,c olston;j jiang;j widom,dd zhang,sigmod conference,,2003,1997.6
efficient index structures for string databases,an efficient structure for string databases,t kahveci;a singh,t kahveci;ak singh,vldb,vldb;rome;september,2001,1997.6
a probabilistic relational model and algebra,learning probabilistic models of relational structure,d dey;s sarkar,l getoor;n friedman;d koller;b taskar,acm trans . database syst .,,1996,1997.6
a survey and critique of advanced transaction models,a survey and critique of advanced transaction models,c mohan,c mohan,sigmod conference,proceedings of the 1994 acm sigmod international conference & hellip,1994,1994
domino : databases for moving objects tracking,domino : databases for moving objects tracking . sigmod 1999,o wolfson;a sistla;b xu;j zhou;s chamberlain,o wolfson;ap sistla;b xu;j zhou;s chamberlain,sigmod conference,proceedings acm sigmod international conference on & hellip,1999,1997.6
secure bufering in firm real-time database systems,issues and approaches to design of real-time database systems,b george;j haritsa,m singhal,vldb j.,sigmod record,2000,1988
semantic data caching and replacement,michael tan . data caching and replacement,s dar;m franklin;b jÑ“nsson;d srivastava;m tan,s dar;mj franklin;bÃ£ ? jÃ£ Â³ nsson;d srivastava,vldb,proc . very large data bases conference;bombay;india,1996,1997.6
data mining techniques,data mining techniques based on the self-organizing map,j han,j vesanto,sigmod conference,master degree thesis;department of engineering physics and & hellip,1996,1997.6
algorithms for mining association rules for binary segmentations of huge categorical databases,an adaptive algorithm for incremental mining of association rules,y morimoto;t fukuda;h matsuzawa;t tokuyama;k yoda,nl sarda;nv srinivas,vldb,,1998,1997.6
online query processing,compensation-based on-line query processing,,v srinivasan;mj carey,,proceedings of the 1992 acm sigmod international conference & hellip,2001,1992
incremental data structures and algorithms for dynamic query interfaces,incremental data structures and algorithms for dynamic query interfaces,e tanin;r beigel;b shneiderman,r beigel,sigmod record,sigmod record,1996,1996
understanding the semantics of sensor data,understanding the semantics of sensor data,m mani,m mani,sigmod record,acm sigmod record,2003,2003
a database model for object dynamics,a model of queries for object-oriented databases;15th int,m papazoglou;b krÑ„mer,w kim,vldb j.,conf . on very large data bases,1997,1997.6
bulk loading into an oodb : a performance study,bulk loading into an oodb : a performance study,j wiener;j naughton,jl wiener;jf naughton,vldb,proceedings of the international conference on very large & hellip,1994,1994
dataguides : enabling query formulation and optimization in semistructured databases,a framework for query optimization in distributed statistical databases,r goldman;j widom,mh sadreddini;da bell;si mcclean,vldb,information and software technology,1997,1992
improving performance with bulk-inserts in oracle r-trees,improved query performance with variant indexes,n an;k kanth;s ravada,d quass,vldb,,2003,1997.6
online association rule mining,fast algorithms for mining association rules;proc,c hidber,r agrawal;r srikant,sigmod conference,vldb,1999,1997.6
automatic generation of production rules for integrity maintenance,. s.;and tanca;l. 1992a . automatic generation of production rules for integrity maintenance,s ceri;p fraternali;s paraboschi;l tanca,s ceri,acm trans . database syst .,tech;rep. 92-054;pohtecmco dl milano;dlpartlmento di,1994,1997.6
the impact of global clustering on spatial database systems,the effect of large main memory on database systems,t brinkhoff;h kriegel,d bitton,vldb,,1994,1997.6
foundations of statistical natural language processing - book review,parallel natural language processing,,g adriaens,,,2002,1997.6
sigmod sister societies,sigmod sister societies,s ceri;l kalinichenko;m kitsuregawa;h lu;z Ð¶zsoyoglu;r snodgrass;v vianu,s ceri;la kalinichenko;m kitsuregawa;h lu;v,sigmod record,sigmod record,2000,2000
designing and mining multi-terabyte astronomy archives : the sloan digital sky survey,a.;gray;j.;slutz;d.;and brunner;rj : designing and mining multi-terabyte astronomy archives :,a szalay;p kunszt;a thakar;j gray;d slutz,as szalay;pt kunszt,sigmod conference,sigmod 2000 conference,2000,1997.6
geominer : a system prototype for spatial data mining,n. stefanovic 1997 Ã¢ ?? geominer : a system prototype for spatial data miningÃ¢ ??,j han;k koperski;n stefanovic,j han;k koperski,sigmod conference,proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,1997,1997.6
change detection in hierarchically structured information,corrosion detection in reinforced bridge structures,s chawathe;a rajaraman;h garcia-molina;j widom,fha fhwa,sigmod conference,users manual;demonstration project,1996,1997.6
spirit : sequential pattern mining with regular expression constraints,milprit : mining interval logic patterns with regular expression constraints,m garofalakis;r rastogi;k shim,s de amo;a giacometti;ms santana,vldb,,1999,1997.6
a new sql-like operator for mining association rules,anew sql-like operator formining association rules,r meo;g psaila;s ceri,r meo;g psaila;s ceri,vldb,,1996,1997.6
secure transaction processing in firm real-time database systems,maintaining security in firm real-time database systems,b george;j haritsa,qn ahmed;sv vrbsky,sigmod conference,,1997,1997.6
dynamic load balancing in hierarchical parallel database systems,scalable parallel and distributed expert database systems with predictive load balancing,l bouganim;d florescu;p valduriez,hm dewan;sj stolfo;l woodbury,vldb,journal of parallel and distributed computing,1996,1994
space-efficient online computation of quantile summaries,space-efficient online computation of quantile summaries,m greenwald;s khanna,m greenwald;s khanna,sigmod conference,sigmod conference,2001,2001
mobile computing and databases : anything new ?,mobile computing and databases : anything new ?,m dunham;a helal,bb noble;a helal,sigmod record,sigmod record,1995,1997.6
fast algorithms for mining association rules in large databases,en swami a;1993;Ã¢ ?? mining association rules between sets of items in large databasesÃ¢ ??,r agrawal;r srikant,r agrawal;t imielinski,vldb,proceedings of the international acm sigmod conference,1994,1997.6
potter ¡¯s wheel : an interactive data cleaning system,alias : an active learning led interactive deduplication system,v raman;j hellerstein,s sarawagi;a bhamidipaty;a kirpal;c mouli,vldb,vldb,2001,2002
extracting schema from semistructured data,qursed : querying and reporting semistructured data,s nestorov;s abiteboul;r motwani,y papakonstantinou;m petropoulos;v vassalos,sigmod conference,,1998,1997.6
design and implementation of a genetic-based algorithm for data mining,the design and implementation of an extendible deductive database system,s choenni,j kiernan;e simon,vldb,sigmod record,2000,1989
distributed query evaluation on semistructured data,managing and querying changes in semi-structured data,d suciu,s chawathe;s abiteboul;j widom,acm trans . database syst .,proceedings of acm sigmod conference,2002,1997.6
selectivity estimation in spatial databases,selectivity estimation of complex spatial queries,s acharya;v poosala;s ramaswamy,n mamoulis;d papadias,sigmod conference,,1999,1997.6
materialized view selection for multidimensional datasets,a view selection tool for multidimensional databases,a shukla;p deshpande;j naughton,hm jamil;ga modica,vldb,,1998,1997.6
on the issue of valid time ( s ) in temporal databases,coalescing in temporal databases,s kokkotos;e ioannidis;t panayiotopoulos;c spyropoulos,mh bijhlen;rt snodgrass;md soo,sigmod record,,1995,1997.6
research in database engineering at the university of namur,database research at la trobe university,j hainaut,j zeleznikow,sigmod record,sigmod record,2003,1992
editor ¡¯s notes,editors ¡¯ notes,l liu,c knapper;s piccinin,sigmod record,new directions for teaching and learning,2003,1997.6
order-of-magnitude advantage of tpc-c though massive parallelism,order-of-magnitude advantage on tpc-c through massive parallelism,c levine,c levine,sigmod conference,,1995,1997.6
on supporting containment queries in relational database management systems,supporting multiple access control policies in database systems,c zhang;j naughton;d dewitt;q luo;g lohman,f rabitti;e bertino;w kim;d woelk,sigmod conference,acm transactions on database systems,2001,1997.6
efficient algorithms for mining outliers from large data sets,spade : an efficient algorithm for mining frequent sequences,s ramaswamy;r rastogi;k shim,mj zaki,sigmod conference,machine learning,2000,2001
editorial,editorial,,dw aha,,artificial intelligence review,2001,1997
a foundation for multi-dimensional databases,modeling multidimensional da [ abases,m gyssens;l lakshmanan,r agrawal;a gupta;s sarawagi,vldb,technical report;ibm almaden research center;650 harry road,1997,1997.6
building knowledge base management systems,interfacing knowledge discovery algorithms to large database management systems,j mylopoulos;v chaudhri;d plexousakis;a shrufi;t topaloglou,s lavington;n dewhurst;e wilkins;a freitas,vldb j.,information and software technology,1996,1999
template-based wrappers in the tsimmis system,vassalos;template-based wrappers in the tsimmis system;ht tp : / / wwwdb,j hammer;h garcia-molina;s nestorov;r yerneni;m breunig;v vassalos,j hammer;h garcia-molina;s nestorov;r yerneni,sigmod conference,stanford . edu/tsimmis/publications .,1997,1997.6
sampling large databases for association rules,mining association rules from quantitative data,h toivonen,tp hong;cs kuo;sc chi,vldb,intelligent data analysis,1996,1999
mixed mode xml query processing,mixed mode xml query processing,a halverson;j burger;l galanis;a kini;r krishnamurthy;a rao;f tian;s viglas;y wang;j naughton;d dewitt,a halverson;j burger;l galanis;a kini;r,vldb,proceedings of the international conference on very large & hellip,2003,2003
smooth - a distributed multimedia database system,query processing in a distributed relational database system,h kosch;l bÑ–szÑ–rmÑ‰nyi;a bachlechner;c hanin;c hofbauer;m lang;c riedler;r tusch,r epstein;m stonebraker;e wong,vldb,proceedings of the acm sigmod conference on management of & hellip,2001,1997.6
open issues in parallel query optimization,coloring away communication in parallel query optimization;1995,w hasan;d florescu;p valduriez,w hasan;r motwani,sigmod record,submitted for,1996,1997.6
algebraic query optimisation for database programming languages,fibonacci : a programming language for object databases,a poulovassilis;c small,a albano;g ghelli;r orsini,vldb j.,the vldb journal the international journal on very large & hellip,1996,1995
fast algorithms for mining association rules in large databases,mining association rules between sets ofitems in large databases,r agrawal;r srikant,r agrawal;t imielinski;a swami,vldb,conference on management of data . washington,1994,1997.6
managing intra-operator parallelism in parallel database systems,horizontal data partitioning in database systems,m mehta;d dewitt,s ceri;m negri;g pelagatti,vldb,proc . of the acm sigmod international conference on,1995,1997.6
a language based multidatabase system,logic and algebraic languages for interoperability in multidatabase systems,e kÑœhn;t tschernko;k schwarz,lvs lakshmanan;f sadri;in subramanian,sigmod conference,,1994,1997.6
schemasql - a language for interoperability in relational multi-database systems,a multi-level architecture for relational data base systems,l lakshmanan;f sadri;i subramanian,ha schmid;pa bernstein,vldb,vldb,1996,1975
a logical foundation for deductive object-oriented databases,logic and objectoriented programming language paradigms with application to deductive databases,m liu;g dobbie;t ling,zo bayram,acm trans . database syst .,,2002,1997.6
research in information managment at dublin city university,research in information managment at dublin city university,m roantree;a smeaton,m roantree;af smeaton,sigmod record,acm sigmod record,2002,2002
fast algorithms for mining association rules in large databases,swarni ( 1993 );mining association rules between set of items in large databases,r agrawal;r srikant,i agrawal,vldb,proc . of the acm sigmod conference of management of data,1994,1997.6
fast incremental indexing for full-text information retrieval,bruce croft : fast incremental indexing for full-text information retrieval,e brown;j callan;w croft,w eric;p brown james;w callan,vldb,proc . of the 20th inter . conf . on very large databases ( vldb & hellip,1994,1997.6
the building blocks for specifying communication behavior of complex objects : an activity-driven approach,the building blocks for specifying communication behavior of complex objects : an activity-driven,l liu;r meersman,l liu;r meersman,acm trans . database syst .,acm transactions on database systems,1996,1996
towards self-tuning data placement in parallel database systems,dynamic load balancing in parallel database systems,m lee;m kitsuregawa;b ooi;k tan;a mondal,e rahm,sigmod conference,,2000,1997.6
editorial,guest editorial,,aw czarnik,,acc . chem . res,2001,1997.6
a formal perspective on the view selection problem,theoretical perspectives on instructional problems,r chirkova;a halevy;d suciu,rj menges;m svinicki,vldb j.,new directions for teaching and learning,2002,1997.6
query processing techniques for arrays,similarity query processing using disk arrays,a marathe;k salem,a papadopoulos;y manolopoulos,vldb j.,,2002,1997.6
application servers and associated technologies,microsoft server technology for mobile and wireless applications,,p seshadri,,& hellip2001 . proceedings . 17th international conference on,2002,2001
managing intervals efficiently in object-relational databases,converting relational to object-oriented databases,h kriegel;m pÑ–tke;t seidl,j fong,vldb,sigmod record,2000,1997
data mining with optimized two-dimensional association rules,mining generalized association rules,t fukuda;y morimoto;s morishita;t tokuyama,s ramakrishnan;a rakesh,acm trans . database syst .,proceedings of 21 stvldb conference;zurich;switzerland,2001,1997.6
guest editorial : databases and the web,guest editorial,,gh rassool,,journal of advanced nursing,2000,2000
oracle rac : architecture and performance,performance and scalability of client-server architectures,a pruscino,a delis;n roussopoulos,sigmod conference,proceedings of the international conference on very large,2003,1997.6
view maintenance in a warehousing environment,self maintenance of multiple views in data warehousing,y zhuge;h garcia-molina;j hammer;j widom,s samtani;v kumar;m mohania,sigmod conference,,1995,1997.6
dynamic itemset counting and implication rules for market basket data,dynamic itemset countingand implication rules for market basket data,s brin;r motwani;j ullman;s tsur,s brin;r motwani;j ullman;s tsur,sigmod conference,& hellip of the acm international conference on management of data ( & hellip,1997,1997.6
intra-transaction parallelism in the mapping of an object model to a relational multi-processor system,encapsulation of parallelism in the volcano query processing system,m rys;m norrie;h schek,g graefe,vldb,proceedings of the 1990 acm sigmod international conference & hellip,1996,1990
quorum consensus in nested transaction systems,concepts for transaction recovery in nested transactions,k goldman;n lynch,t hÃ£ $ rd87a hÃ£ $ rder;k rothermel,acm trans . database syst .,proc . acm sigmod 1987 annual conf.;san francisco,1994,1997.6
space optimization in deductive databases,a method for change computation in deductive databases,d srivastava;s sudarshan;r ramakrishnan;j naughton,t urpi,acm trans . database syst .,vldb,1995,1992
optimizing queries on compressed bitmaps,optimizing queries across diverse sources,s amer-yahia;t johnson,l haas;d kossmann;e wimmers;j yan,vldb,& hellip of the 23rd vldb conference;athens;greece,2000,1997.6
the a-tree : an index structure for high-dimensional spaces using relative approximation,the convex polyhedra technique : an index structure for high-dimensional space,y sakurai;m yoshikawa;s uemura;h kojima,j an,vldb,,2000,1997.6
aurora : a data stream management system,tsichritz ~ s;d. zeta : a relational data base management system,d abadi;d carney;u Ñ‡etintemel;m cherniack;c convey;c erwin;e galvez;m hatoun;a maskey;a rasin;a singer;m stonebraker;n tatbul;y xing;r yan;s zdonik,b czarnik;sa schuster;d tsichritzis,sigmod conference,proc . acm pacific conf,2003,1997.6
vqbd : exploring semistructured data,path rewriting in semistructured data,s chawathe;t baby;j yeo,d debarbieux;y roos;s tison;y andre;ac caron,sigmod conference,,2001,1997.6
efficient algorithms for processing xpath queries,efficient algorithms for processing xpath queries,g gottlob;c koch;r pichler,g georg;k christoph;p reinhard,vldb,proc . of the vldb,2002,1997.6
power efficient data gathering and aggregation in wireless sensor networks,distributing queries over low-power wireless sensor networks,h tan;i korpeoglu,s madden;jm hellerstein,sigmod record,sigmod conference,2003,2002
watermarking relational databases,properties on non-first-normal-form relational databases,r agrawal;j kiernan,h arisawa;k moriya;t miura,vldb,proc . vldb,2002,1997.6
book review column,software and book review column,k aberer,g columnist;t nelson-graham,sigmod record,,2002,1997.6
the mariposa distributed database management system,the architecture of an active database management system,j sidell,u dayal;d mccarthy,sigmod record,acm sigmod conf,1996,1997.6
integrating a structured-text retrieval system with an object-oriented database system,the o2 object-oriented database system,t yan;j annevelink,f bancilhon,vldb,proceedings of the 1992 acm sigmod international conference & hellip,1994,1992
approximate computation of multidimensional aggregates of sparse data using wavelets,optimal and approximate computation of summary statistics for range aggregates,j vitter;m wang,ac gilbert;y kotidis;s muthukrishnan;mj strauss,sigmod conference,,1999,1997.6
